RUT;Nombre;Genero;Fecha_Nacimiento;Previsión;Monto_Deuda
8.178.106-7;Ignacio Bernardo Saavedra Vergara;MASCULINO;1962/2/23;FONASA;1764687.6700000002
12.326.886-9;Felipe Bernardo González Valenzuela;MASCULINO;1989/4/7;FONASA;1103888.08
7.282.600-2;Victoria María Saavedra Muñoz;FEMENINO;1988/7/27;FONASA;862230.51
19.639.522-9;Rodrigo Vicente Marín Rodríguez;MASCULINO;1972/10/11;ISAPRE;790308.7000000001
14.033.386-1;Andrés Felipe Rodríguez Marín;MASCULINO;1982/10/28;ISAPRE;559320.9
18.074.219-8;Victoria Isidora Castro Marín;FEMENINO;1989/8/14;FONASA;1125295.6
21.757.948-4;Paula Constanza Rodríguez Marín;FEMENINO;1964/3/14;ISAPRE;1556775.99
21.247.134-4;Bernardo Vicente Rojas Rodríguez;MASCULINO;1978/9/15;FONASA;163637.13
8.189.823-8;Isabel Pamela Ruiz Campos;FEMENINO;1981/8/28;ISAPRE;1882647.3900000001
9.259.149-0;Gabriel Javier López Rodríguez;MASCULINO;1998/4/13;FONASA;781288.99
16.591.368-1;Andrés Pedro Rodríguez Castro;MASCULINO;1983/3/12;ISAPRE;1960149.74
10.819.343-9;Pablo Pablo Valenzuela Marín;MASCULINO;1985/4/3;FONASA;1895449.26
16.888.072-5;Andrea Cecilia Muñoz Saavedra;FEMENINO;1964/10/3;ISAPRE;2057551.69
13.568.776-7;Andrea Isidora Castro Muñoz;FEMENINO;1972/1/4;FONASA;1389790.33
10.741.901-4;Pamela Javiera Vergara Robles;FEMENINO;2000/11/18;FONASA;1437356.76
4.300.851-6;Francisco Alejandro Castro Robles;MASCULINO;1973/3/21;ISAPRE;1074980.1
18.146.566-9;Isabel Cecilia Rojas Ruiz;FEMENINO;1994/5/4;ISAPRE;1973035.04
12.963.496-3;Vicente Bernardo Marín Castro;MASCULINO;1995/1/17;FONASA;1313555.9100000001
12.694.079-3;Valeria Constanza Saavedra Valenzuela;FEMENINO;1982/3/30;FONASA;2026706.28
10.807.05-5;Ramón Felipe Díaz Díaz;MASCULINO;1976/10/2;FONASA;1848358.69
5.036.816-5;Vicente Javier Saavedra Ruiz;MASCULINO;1983/2/16;ISAPRE;1547305.1400000001
17.454.522-5;Pablo Javier Campos Ruiz;MASCULINO;1971/6/2;ISAPRE;800903.28
16.439.209-5;Isabel Blanca Quiroga Marín;FEMENINO;1997/3/15;FONASA;752670.4400000001
19.543.570-3;Andrea Isabel Rodríguez Vergara;FEMENINO;1976/5/30;FONASA;299886.56
5.449.462-3;Bernardo Juan Muñoz Valenzuela;MASCULINO;1974/10/1;FONASA;1209735.0
17.904.231-8;Javier Gabriel Rojas Díaz;MASCULINO;1973/8/2;FONASA;631726.81
4.682.642-4;Ramón Rodrigo Marín Muñoz;MASCULINO;1998/11/29;ISAPRE;882224.87
11.100.575-9;Daniela Cecilia Campos Rojas;FEMENINO;1967/2/0;FONASA;657658.09
14.100.661-9;Pablo Rodrigo Rodríguez Ruiz;MASCULINO;1993/11/27;FONASA;2058678.51
8.226.373-8;Pedro Vicente Muñoz Rojas;MASCULINO;1961/12/23;FONASA;853923.56
12.075.215-8;Francisco Ignacio Ruiz Marín;MASCULINO;1990/6/21;ISAPRE;165613.7
20.950.595-9;Cecilia Victoria Castro Ruiz;FEMENINO;1993/7/30;FONASA;471652.45
21.100.495-6;Cecilia Blanca López Ruiz;FEMENINO;1998/8/13;FONASA;118043.15000000001
10.641.083-9;Pamela Ignacia Vergara Muñoz;FEMENINO;1961/3/19;FONASA;1464703.26
5.690.251-5;Felipe Juan Ruiz Vergara;MASCULINO;1977/5/17;FONASA;936385.36
20.091.205-1;Ignacia Blanca Marín Vergara;FEMENINO;1987/1/25;FONASA;1220644.76
17.109.014-7;Isidora Isabel Rodríguez Valenzuela;FEMENINO;1971/9/10;ISAPRE;402769.14
17.875.796-0;Andrés Rodrigo Marín López;MASCULINO;1998/6/6;FONASA;1672236.93
9.513.097-0;Isabel Constanza Muñoz Rodríguez;FEMENINO;1991/1/10;FONASA;837323.05
17.307.086-9;Ramón Juan González Muñoz;MASCULINO;1971/10/5;FONASA;1404245.35
18.782.070-4;Felipe Javier Rodríguez Rojas;MASCULINO;1984/4/12;FONASA;1765678.53
4.418.447-8;Felipe Ramón Castro Castro;MASCULINO;1978/8/8;FONASA;137584.31
8.664.718-6;Pamela Blanca Vergara Rodríguez;FEMENINO;1974/5/25;ISAPRE;1836363.31
11.753.554-3;Blanca Constanza Valenzuela Castro;FEMENINO;1996/9/4;FONASA;1358177.57
16.912.511-5;Ignacia María Saavedra Robles;FEMENINO;1982/8/16;ISAPRE;360936.72000000003
19.922.630-5;Paula Isabel Marín Rodríguez;FEMENINO;1985/6/2;FONASA;1559594.07
9.890.807-3;María Victoria Rojas Marín;FEMENINO;1992/5/10;FONASA;627426.56
21.798.515-1;Andrea Andrea Castro Rojas;FEMENINO;1996/4/12;FONASA;329914.15
18.230.385-7;Isabel Blanca Rojas Quiroga;FEMENINO;1978/5/3;FONASA;843211.56
7.287.859-1;Constanza Isabel Díaz Castro;FEMENINO;1965/8/24;ISAPRE;870936.0700000001
21.392.972-7;Andrés Ignacio Marín Valenzuela;MASCULINO;1997/5/23;FONASA;1282633.25
18.533.361-4;Andrea Andrea Quiroga Saavedra;FEMENINO;1975/8/22;FONASA;1651420.6300000001
13.161.717-3;Alejandro Andrés Campos Quiroga;MASCULINO;1973/5/5;FONASA;337042.78
11.871.218-8;Andrés Felipe Quiroga González;MASCULINO;1994/5/28;FONASA;272350.54
13.106.954-2;Pedro Vicente Ruiz Rodríguez;MASCULINO;1989/4/4;FONASA;175310.12
18.498.392-5;Andrés Rodrigo Díaz Campos;MASCULINO;1970/6/1;FONASA;1559730.03
19.355.348-1;María Valeria Valenzuela López;FEMENINO;1982/6/2;ISAPRE;1976309.4100000001
13.403.789-8;Vicente Bernardo Rojas Valenzuela;MASCULINO;1986/8/0;ISAPRE;1795004.69
5.575.410-4;Javiera Cecilia Saavedra Díaz;FEMENINO;1986/5/4;FONASA;1523772.73
6.262.939-4;Valeria Javiera Muñoz Castro;FEMENINO;1971/2/7;ISAPRE;903634.4500000001
9.248.552-0;Blanca María Ruiz Vergara;FEMENINO;1990/3/13;FONASA;978364.04
7.638.517-6;Pablo Ignacio Saavedra Rojas;MASCULINO;1993/9/21;FONASA;651634.65
5.632.295-5;Valeria Cecilia Vergara Rojas;FEMENINO;1991/2/28;FONASA;967697.36
14.502.656-2;Ignacio Bernardo López Rodríguez;MASCULINO;1973/12/21;FONASA;132558.94
4.762.194-6;María Valeria Muñoz González;FEMENINO;1984/6/2;ISAPRE;952721.16
16.543.145-1;Pamela Victoria Robles Vergara;FEMENINO;1992/12/29;FONASA;214221.46
13.588.927-9;Alejandro Bernardo Vergara Marín;MASCULINO;1963/12/20;ISAPRE;1229486.28
8.034.555-5;Vicente Ignacio Valenzuela Quiroga;MASCULINO;1987/9/4;ISAPRE;445720.14
21.617.637-4;Constanza Blanca Saavedra Díaz;FEMENINO;1989/1/9;ISAPRE;122765.7
14.799.844-8;Pamela Paula Campos Quiroga;FEMENINO;1982/9/3;FONASA;700744.02
15.916.920-7;María Paula González Vergara;FEMENINO;1967/4/10;ISAPRE;624470.46
13.610.685-6;Isidora Cecilia Castro Rodríguez;FEMENINO;1992/1/21;FONASA;429628.45
7.856.613-1;Alejandro Rodrigo Castro Robles;MASCULINO;1960/10/14;FONASA;664375.75
8.160.459-8;Victoria Andrea Rodríguez Marín;FEMENINO;1975/6/3;FONASA;363427.26
15.946.802-2;Constanza Andrea Campos Vergara;FEMENINO;1975/11/28;FONASA;1070122.62
7.482.245-8;Alejandro Gabriel Saavedra Campos;MASCULINO;1966/12/28;FONASA;1136525.69
15.328.419-5;Javiera Valeria Saavedra Campos;FEMENINO;1970/8/17;FONASA;825309.13
5.697.032-2;Gabriel Javier Quiroga Saavedra;MASCULINO;1996/6/5;ISAPRE;434484.9
9.066.541-3;Francisco Francisco Ruiz Quiroga;MASCULINO;1980/7/24;ISAPRE;582650.4
9.722.662-9;Gabriel Ignacio Castro Rodríguez;MASCULINO;1968/4/14;FONASA;1139975.16
19.196.453-0;Pamela Constanza López Muñoz;FEMENINO;1960/9/9;ISAPRE;1734773.3800000001
14.014.09-9;Gabriel Felipe Díaz Marín;MASCULINO;1976/12/10;FONASA;585904.17
18.444.222-7;Francisco Bernardo Muñoz Castro;MASCULINO;1988/7/8;ISAPRE;1008110.4400000001
13.716.907-0;Juan Vicente Rodríguez Quiroga;MASCULINO;1972/1/5;FONASA;972246.87
17.734.624-0;Francisco Javier Marín Muñoz;MASCULINO;1979/8/29;FONASA;771721.3200000001
19.186.540-6;Rodrigo Rodrigo Rodríguez Campos;MASCULINO;1992/8/10;FONASA;1762126.06
12.641.551-3;Daniela Victoria Rodríguez Quiroga;FEMENINO;1970/5/7;ISAPRE;392527.85000000003
19.763.461-2;Alejandro Juan Campos Campos;MASCULINO;1972/6/11;ISAPRE;1954096.43
14.485.628-7;Bernardo Andrés Valenzuela Castro;MASCULINO;1961/8/9;FONASA;1231373.24
10.196.166-6;Javier Pedro Rodríguez Saavedra;MASCULINO;2000/4/0;FONASA;1742539.58
6.721.840-6;Javiera Ignacia Díaz Saavedra;FEMENINO;1991/11/26;FONASA;1669955.48
6.124.977-0;Andrea María Quiroga Ruiz;FEMENINO;1962/12/23;FONASA;227896.77000000002
13.470.680-1;Felipe Javier Castro Vergara;MASCULINO;1975/10/0;FONASA;1178906.07
12.300.519-2;Francisco Bernardo Campos Quiroga;MASCULINO;1960/10/30;ISAPRE;176585.26
18.142.977-2;Valeria Valeria Castro Díaz;FEMENINO;1973/5/12;ISAPRE;1846654.04
4.367.282-7;Pamela Isidora Vergara Campos;FEMENINO;1989/6/0;ISAPRE;1461937.71
18.683.099-8;Pedro Felipe Saavedra Quiroga;MASCULINO;1986/9/5;ISAPRE;1343147.81
15.439.959-0;Francisco Juan Rojas Rodríguez;MASCULINO;1963/3/27;ISAPRE;842811.92
7.364.238-5;Bernardo Bernardo Saavedra Rodríguez;MASCULINO;1969/3/0;FONASA;1802080.79
14.340.136-3;Victoria Isabel Rodríguez Marín;FEMENINO;2000/4/15;ISAPRE;1609404.87
8.224.493-9;Isabel Blanca González Ruiz;FEMENINO;1995/10/17;FONASA;1785973.6500000001
13.507.971-0;Valeria Andrea Díaz Rodríguez;FEMENINO;1991/4/0;FONASA;1892018.33
11.062.954-1;Pamela Paula Marín Valenzuela;FEMENINO;1991/7/23;FONASA;873860.24
12.932.519-9;Javier Francisco Rojas Saavedra;MASCULINO;1988/1/21;FONASA;1523694.45
18.484.987-8;Francisco Ignacio Ruiz Saavedra;MASCULINO;1973/11/22;FONASA;1299641.6400000001
13.670.850-8;Andrés Francisco Rodríguez Robles;MASCULINO;1979/5/6;ISAPRE;1881726.57
5.855.455-1;Bernardo Gabriel Castro Castro;MASCULINO;1961/5/5;FONASA;1155586.87
14.648.384-5;Javier Francisco Marín López;MASCULINO;1960/8/28;FONASA;245859.97
21.255.359-6;Pamela Pamela Rodríguez Ruiz;FEMENINO;1997/11/14;ISAPRE;2035920.6600000001
19.580.363-0;Daniela Valeria Campos López;FEMENINO;1993/2/5;FONASA;236294.36000000002
16.973.515-7;Andrea Paula Castro Saavedra;FEMENINO;1979/10/16;FONASA;679565.16
8.482.164-2;Paula Javiera Rodríguez Rodríguez;FEMENINO;1971/5/16;FONASA;1653445.61
18.183.507-8;Pamela Javiera Marín Robles;FEMENINO;1993/5/23;FONASA;1626217.56
18.602.081-9;Isabel Isidora Muñoz Díaz;FEMENINO;1975/4/26;FONASA;455376.39
8.150.572-9;Francisco Javier Rodríguez Ruiz;MASCULINO;1992/11/27;FONASA;1013397.43
4.464.256-0;Vicente Pedro Rodríguez Rodríguez;MASCULINO;1988/1/3;FONASA;1660413.56
7.357.126-8;Francisco Alejandro Saavedra Saavedra;MASCULINO;1979/10/20;ISAPRE;1700133.45
11.682.02-8;Pablo Alejandro Díaz González;MASCULINO;1987/11/3;FONASA;760859.97
12.797.358-4;María Javiera Vergara Quiroga;FEMENINO;1964/8/1;ISAPRE;122765.7
21.257.295-2;Pablo Pablo González Valenzuela;MASCULINO;1983/10/29;FONASA;1096622.46
14.386.214-6;Francisco Ramón Valenzuela Rojas;MASCULINO;1974/3/11;FONASA;863418.1
15.314.101-2;Javiera Javiera Rodríguez Muñoz;FEMENINO;1983/2/26;FONASA;1676546.45
10.339.894-8;Javier Alejandro Quiroga Ruiz;MASCULINO;2000/2/21;ISAPRE;1033724.48
4.877.352-5;Pablo Andrés Vergara Robles;MASCULINO;1977/11/7;ISAPRE;1186330.31
16.506.337-5;Constanza Javiera Vergara Rodríguez;FEMENINO;1965/12/19;FONASA;1624943.45
14.025.692-6;Blanca Isidora López Díaz;FEMENINO;1984/1/7;FONASA;125648.67
10.321.747-6;Andrés Pedro Marín Ruiz;MASCULINO;1980/10/22;ISAPRE;987610.35
5.478.446-2;Juan Alejandro Campos Rojas;MASCULINO;1961/4/23;FONASA;1316093.83
5.750.202-4;Pablo Francisco Muñoz Saavedra;MASCULINO;1989/4/29;FONASA;427585.96
9.929.201-2;Gabriel Gabriel Valenzuela Campos;MASCULINO;1960/5/30;FONASA;1805986.55
16.241.406-5;Valeria María González López;FEMENINO;1965/1/24;FONASA;845154.14
6.047.117-0;Isabel María Castro López;FEMENINO;1998/5/27;FONASA;1350927.4000000001
7.514.540-5;Ramón Alejandro González Quiroga;MASCULINO;1972/10/8;ISAPRE;2043206.8800000001
8.159.052-3;Valeria Blanca Robles Rodríguez;FEMENINO;1976/10/2;FONASA;474163.59
14.704.479-0;Ramón Bernardo Campos Ruiz;MASCULINO;1993/10/8;FONASA;641399.54
13.740.210-1;María Blanca Díaz Valenzuela;FEMENINO;1999/10/28;FONASA;1579158.92
7.124.780-7;Ignacia Valeria López Marín;FEMENINO;1972/7/10;ISAPRE;1448767.1
5.431.774-7;Isabel Pamela Castro Vergara;FEMENINO;1995/3/18;ISAPRE;200219.64
13.303.735-5;Bernardo Pablo Ruiz Marín;MASCULINO;1970/4/7;ISAPRE;1332454.35
5.012.158-8;Cecilia Victoria Valenzuela Quiroga;FEMENINO;1968/11/24;ISAPRE;1906391.98
4.560.823-7;Rodrigo Rodrigo Rojas González;MASCULINO;1981/10/29;ISAPRE;132022.31
19.044.644-8;Ignacio Rodrigo Rodríguez Vergara;MASCULINO;1984/11/27;FONASA;687103.73
21.050.545-7;Javier Ignacio Saavedra Ruiz;MASCULINO;1971/3/25;ISAPRE;1475558.43
16.367.864-1;Ignacia Paula Quiroga González;FEMENINO;1970/7/27;FONASA;1454013.92
10.398.526-6;Gabriel Javier Díaz López;MASCULINO;1967/11/14;ISAPRE;1236030.9000000001
20.763.574-9;Alejandro Andrés Quiroga López;MASCULINO;1976/2/10;FONASA;1522079.4100000001
15.531.840-9;Ignacia Isidora Saavedra Vergara;FEMENINO;1970/5/8;FONASA;1700725.7
12.228.608-8;Alejandro Pablo Rodríguez Vergara;MASCULINO;1962/2/21;FONASA;1212255.41
18.993.070-0;Ignacia Victoria Muñoz Muñoz;FEMENINO;1966/3/20;FONASA;116804.06
10.584.551-1;Constanza Isidora Campos Rodríguez;FEMENINO;1986/3/6;ISAPRE;1485257.94
4.941.591-9;Andrés Juan González Quiroga;MASCULINO;1962/10/25;FONASA;558967.61
4.254.365-4;Pedro Gabriel Rodríguez Robles;MASCULINO;1996/4/1;FONASA;554736.37
6.851.121-5;Isidora María Rojas Quiroga;FEMENINO;1999/8/26;FONASA;428318.29000000004
19.759.402-4;Juan Felipe González Ruiz;MASCULINO;1986/12/28;FONASA;1060138.83
15.895.121-7;Vicente Gabriel Rodríguez Valenzuela;MASCULINO;1964/4/27;ISAPRE;1864846.93
21.222.801-0;Pablo Ignacio González Saavedra;MASCULINO;1986/11/3;FONASA;1842296.11
20.540.089-7;Constanza Valeria Marín Ruiz;FEMENINO;1984/5/10;FONASA;363896.94
4.403.683-5;Cecilia María Díaz Díaz;FEMENINO;1985/11/19;FONASA;1964403.6400000001
16.476.698-0;Bernardo Ignacio Vergara Muñoz;MASCULINO;1984/5/3;FONASA;1168503.07
12.457.940-2;Pamela Cecilia Vergara Robles;FEMENINO;1963/11/5;FONASA;367482.37
17.947.532-3;María Ignacia Ruiz Rojas;FEMENINO;1997/2/26;FONASA;479135.4
18.402.956-7;Javiera Pamela Quiroga Campos;FEMENINO;1966/9/10;FONASA;1942240.1
7.085.873-2;Javier Rodrigo Quiroga Valenzuela;MASCULINO;1996/9/27;ISAPRE;1958807.6500000001
19.266.951-7;Victoria Pamela Ruiz González;FEMENINO;1961/9/20;ISAPRE;828939.88
18.515.989-6;Bernardo Alejandro González Saavedra;MASCULINO;1991/7/0;FONASA;1269761.34
19.899.364-6;Vicente Rodrigo Campos Muñoz;MASCULINO;1994/10/4;FONASA;1859112.9200000002
7.273.828-0;Juan Gabriel Castro Robles;MASCULINO;1977/3/0;FONASA;1358805.87
8.152.912-5;Javiera Pamela Robles González;FEMENINO;1972/1/16;FONASA;1808598.6300000001
12.813.415-7;Ignacio Pablo Ruiz Castro;MASCULINO;1987/1/9;FONASA;280343.34
12.316.608-9;Ramón Javier Rojas Rodríguez;MASCULINO;1992/8/12;FONASA;1421020.96
12.585.168-6;Isabel Daniela Campos Ruiz;FEMENINO;1991/2/16;FONASA;1958134.03
8.898.828-9;Bernardo Juan Rodríguez Quiroga;MASCULINO;1969/6/1;FONASA;193302.16
8.847.485-0;Javier Juan Robles Campos;MASCULINO;1961/2/5;ISAPRE;2049588.76
13.194.146-2;Ignacia Constanza Castro Díaz;FEMENINO;1994/7/16;FONASA;1726452.01
5.900.879-7;Ignacio Rodrigo Muñoz Robles;MASCULINO;1982/12/23;FONASA;1484325.79
9.149.727-1;Pamela Daniela Castro Castro;FEMENINO;1991/11/23;FONASA;1493326.96
14.817.330-7;Javiera Javiera Vergara Muñoz;FEMENINO;1967/6/8;ISAPRE;251680.5
16.380.161-1;Juan Rodrigo González Muñoz;MASCULINO;1965/2/19;FONASA;1649866.36
9.953.059-5;Ignacia Ignacia Rojas Quiroga;FEMENINO;1970/9/16;FONASA;1128767.73
14.647.763-3;María Paula Díaz Valenzuela;FEMENINO;1977/11/29;FONASA;1866741.1
17.487.655-5;Rodrigo Javier Quiroga Valenzuela;MASCULINO;1975/5/16;FONASA;1026114.8400000001
10.325.279-4;Pamela Constanza Castro Muñoz;FEMENINO;1969/9/0;ISAPRE;1180659.1300000001
4.052.951-6;Javiera Ignacia Díaz Quiroga;FEMENINO;1960/1/30;FONASA;1866139.58
18.447.261-4;Paula Blanca Vergara Campos;FEMENINO;1988/7/28;FONASA;899577.28
10.530.647-4;Pedro Rodrigo López Saavedra;MASCULINO;1991/10/3;FONASA;779643.05
8.566.143-8;Blanca Cecilia González Rodríguez;FEMENINO;1984/4/23;FONASA;1277086.7
21.590.620-3;Pablo Vicente Quiroga Valenzuela;MASCULINO;2000/8/6;FONASA;415986.10000000003
17.144.264-2;Felipe Vicente Campos Vergara;MASCULINO;1996/1/29;FONASA;497039.89
13.081.032-8;Daniela Paula López Rodríguez;FEMENINO;1975/1/2;FONASA;870089.41
10.293.542-4;Javier Ignacio Ruiz González;MASCULINO;1986/11/20;FONASA;2044134.9100000001
7.458.753-8;Pedro Gabriel Vergara Campos;MASCULINO;1978/1/5;ISAPRE;1861417.03
17.539.870-5;Bernardo Andrés Quiroga González;MASCULINO;1994/1/17;ISAPRE;1268464.57
4.811.381-8;Victoria Blanca Rojas Díaz;FEMENINO;1993/4/26;ISAPRE;1834378.5
6.522.143-8;Pablo Pablo Ruiz Rojas;MASCULINO;1967/7/26;ISAPRE;829094.38
18.849.161-6;Vicente Francisco Saavedra Muñoz;MASCULINO;1975/4/12;FONASA;633204.86
16.538.020-6;María Victoria Rojas Rodríguez;FEMENINO;2000/9/30;FONASA;794731.52
18.440.979-5;Rodrigo Pedro Rodríguez Rodríguez;MASCULINO;1978/11/18;ISAPRE;1532560.69
14.273.468-3;Ramón Alejandro Ruiz Vergara;MASCULINO;1976/4/28;FONASA;1055708.8
11.379.871-1;Vicente Felipe Rodríguez Robles;MASCULINO;1967/7/9;FONASA;638259.0700000001
8.558.591-2;Constanza Victoria Quiroga Vergara;FEMENINO;2000/2/18;FONASA;2004817.75
6.079.686-2;Alejandro Felipe Rodríguez Rodríguez;MASCULINO;1961/7/26;ISAPRE;1553726.1600000001
9.421.295-1;Andrea Ignacia González Saavedra;FEMENINO;1984/2/15;FONASA;2031857.31
7.214.024-7;María Ignacia Castro Muñoz;FEMENINO;1961/11/2;FONASA;1033967.56
10.590.313-1;Paula Paula Rojas Rodríguez;FEMENINO;1990/3/6;FONASA;2057976.05
12.239.01-3;Pablo Andrés Vergara Valenzuela;MASCULINO;1981/6/4;FONASA;1352417.81
4.231.928-4;Javiera Daniela Robles Rodríguez;FEMENINO;1997/2/12;FONASA;1855725.25
19.855.023-1;Ignacia Constanza Quiroga López;FEMENINO;1973/4/19;FONASA;1442053.56
18.217.178-7;Javier Felipe Robles Díaz;MASCULINO;1988/7/6;ISAPRE;907246.66
4.533.749-4;Blanca Andrea Marín González;FEMENINO;1992/12/0;FONASA;510911.93
18.913.144-8;Vicente Javier Ruiz Rojas;MASCULINO;1979/12/19;ISAPRE;1475223.68
7.516.01-8;Pamela Daniela Valenzuela Rojas;FEMENINO;1990/3/8;FONASA;431822.35000000003
4.658.223-8;Juan Juan Castro Rojas;MASCULINO;1998/10/4;FONASA;1978243.75
6.984.361-1;Valeria Isidora Quiroga Rojas;FEMENINO;1968/8/0;FONASA;811699.74
6.926.940-5;Daniela Blanca López Ruiz;FEMENINO;1975/1/0;FONASA;1358386.6600000001
10.270.663-7;Gabriel Alejandro Castro González;MASCULINO;1998/8/3;FONASA;1041012.76
9.974.028-1;Victoria Daniela Vergara Ruiz;FEMENINO;1979/11/7;FONASA;1947454.99
6.272.032-2;Cecilia Constanza Muñoz Valenzuela;FEMENINO;1982/9/4;ISAPRE;1635814.07
21.652.928-7;Vicente Andrés Saavedra Rodríguez;MASCULINO;1967/6/3;FONASA;854261.4
11.294.575-0;Andrés Javier Castro Saavedra;MASCULINO;1987/9/9;FONASA;1764914.27
10.559.152-0;Vicente Ramón González Muñoz;MASCULINO;1967/8/19;FONASA;1620227.08
18.439.312-0;Ignacio Rodrigo Ruiz Castro;MASCULINO;1983/7/14;FONASA;1132792.97
17.395.624-9;Juan Bernardo Rodríguez Díaz;MASCULINO;1981/8/3;FONASA;687019.27
18.608.546-2;Gabriel Vicente Rodríguez Vergara;MASCULINO;1993/2/17;FONASA;790836.06
15.075.268-2;Daniela Pamela Castro Vergara;FEMENINO;1979/4/19;FONASA;120718.06
16.228.950-1;Gabriel Felipe López Quiroga;MASCULINO;1972/10/30;FONASA;1047528.54
7.043.338-8;Felipe Alejandro López Vergara;MASCULINO;1990/11/21;FONASA;1795336.35
14.258.184-2;Francisco Felipe Saavedra González;MASCULINO;1973/3/18;FONASA;1921686.45
4.896.473-3;María Isidora Muñoz Campos;FEMENINO;1995/7/11;ISAPRE;1114916.29
6.489.018-0;Andrés Ignacio Castro Campos;MASCULINO;1979/4/14;FONASA;1181213.27
8.800.741-3;Daniela Pamela Saavedra López;FEMENINO;1993/5/29;FONASA;755933.48
7.649.491-2;Isidora Isabel Muñoz Muñoz;FEMENINO;1980/3/18;FONASA;1571266.03
14.365.442-4;Pedro Alejandro Saavedra Díaz;MASCULINO;1968/6/8;FONASA;733487.72
14.948.549-6;Vicente Bernardo Rodríguez Valenzuela;MASCULINO;1960/5/0;FONASA;526624.58
6.415.057-3;Valeria Paula Muñoz González;FEMENINO;1984/2/8;FONASA;699000.23
19.734.634-7;Constanza Daniela Muñoz Marín;FEMENINO;1981/6/1;ISAPRE;603684.03
11.482.694-9;Vicente Vicente Quiroga Ruiz;MASCULINO;1970/11/3;FONASA;759863.96
5.727.671-0;Ignacio Rodrigo Rodríguez Rojas;MASCULINO;1980/5/26;FONASA;1478121.07
14.120.782-2;Ignacio Juan Rojas Castro;MASCULINO;1985/8/4;FONASA;338923.56
17.235.949-6;Andrea Blanca Ruiz Robles;FEMENINO;1966/4/19;FONASA;670617.55
4.392.513-0;María Isidora Saavedra Muñoz;FEMENINO;1982/7/0;ISAPRE;812774.03
6.618.578-3;Victoria Javiera Rodríguez Campos;FEMENINO;1989/2/3;FONASA;922676.06
11.412.698-5;Alejandro Alejandro Robles Vergara;MASCULINO;1975/5/23;FONASA;693456.77
9.704.855-5;Blanca Pamela Díaz Quiroga;FEMENINO;1987/12/4;FONASA;968755.17
18.715.857-7;Juan Juan González Vergara;MASCULINO;1967/4/13;FONASA;1537690.09
18.376.044-0;Javiera Daniela Vergara Marín;FEMENINO;1962/11/0;ISAPRE;1320482.6600000001
8.446.251-0;Pablo Pedro Quiroga Valenzuela;MASCULINO;1970/5/17;ISAPRE;1079035.21
8.402.083-2;Daniela Constanza Marín Vergara;FEMENINO;1960/4/22;FONASA;1898854.44
4.198.520-3;Vicente Ignacio Vergara Rojas;MASCULINO;1970/12/20;ISAPRE;1336941.03
8.679.894-7;Victoria Blanca González Quiroga;FEMENINO;1961/12/23;FONASA;160883.94
15.875.623-7;Alejandro Ramón Robles Rodríguez;MASCULINO;1988/6/24;FONASA;186813.16
14.312.798-6;Andrés Francisco Saavedra Rodríguez;MASCULINO;1997/12/14;FONASA;2045536.74
9.176.468-8;Constanza Pamela Rojas López;FEMENINO;1980/7/3;FONASA;1565740.08
16.460.898-5;Pamela Andrea Castro Quiroga;FEMENINO;1991/1/10;FONASA;467384.13
9.222.197-8;Valeria Paula Robles González;FEMENINO;1979/7/11;ISAPRE;1980567.4300000002
14.966.605-8;Constanza Daniela Díaz Saavedra;FEMENINO;1975/3/1;FONASA;1796563.08
