RUT;NOMBRE;FECHA_NAC;TIPO_CLIENTE;MONTO;PUNTAJE_CREDITICIO
10.437.876-3;Victoria Isabel Valenzuela Castro;22-06-98;B;7945321;8.26
5.775.634-10;María Pamela Saavedra Valenzuela;29-06-81;E;1545391;9.44
8.623.995-10;Cecilia Blanca Marín Castro;21-07-74;A;1603735;7.9
18.254.284-0;Isidora Blanca Valenzuela Vergara;14-10-66;D;5509816;8.63
11.927.991-2;Paula Blanca Saavedra Rodríguez;30-06-72;E;4164514;2.04
8.998.908-6;Paula Isidora Rodríguez Rodríguez;27-09-63;D;3898034;1.5
8.170.137-3;Pedro Bernardo Ruiz Díaz;25-12-65;D;8777668;7.72
15.03.312-0;Isabel Isabel Ruiz Rodríguez;28-03-66;E;8227582;4.49
7.509.934-7;Francisco Javier López Vergara;15-09-78;D;9565606;5.4
14.327.395-5;Pablo Javier Quiroga Vergara;13-05-88;B;936080;1.03
4.544.508-9;Ignacia Javiera Rojas Marín;07-11-78;D;6660355;9.41
11.591.342-8;María Ignacia Campos González;05-06-65;A;4878798;2.5
13.282.537-10;Gabriel Ramón Rojas González;23-11-91;C;4213261;1.64
6.624.00-5;Pedro Vicente Quiroga Quiroga;04-03-94;E;1499975;3.93
11.177.901-9;Valeria Paula Rojas Rodríguez;05-07-60;B;601256;1.81
12.805.883-2;Felipe Felipe González Ruiz;08-09-95;B;3230851;6.04
20.085.466-9;Francisco Bernardo Rodríguez González;25-04-77;A;7753746;2.71
14.700.537-4;Francisco Ramón López Ruiz;20-06-63;C;8178429;7.62
18.796.401-9;Alejandro Javier Robles López;28-07-85;B;2599899;0.82
12.376.313-2;María Isabel Rodríguez Campos;20-09-83;C;820171;0.96
4.703.670-9;Blanca Cecilia Campos Rodríguez;27-12-00;C;3897871;2.91
15.744.338-1;Vicente Rodrigo Díaz Saavedra;09-11-83;A;1816944;5.66
21.305.068-10;Vicente Pedro Vergara Castro;25-09-91;B;8505722;5.68
12.569.09-5;Ignacio Andrés Castro López;29-05-95;E;2278079;3.4
13.393.314-9;María Blanca Valenzuela Vergara;30-03-63;D;3534528;4.07
21.425.306-8;Rodrigo Alejandro Rodríguez Muñoz;10-01-86;C;4738819;3.47
21.492.637-2;Isidora Daniela Campos González;03-02-84;E;1993367;7.05
17.449.153-2;Ignacio Ignacio Quiroga Rojas;12-03-92;A;5653242;6.3
21.528.537-6;Bernardo Felipe Vergara Rodríguez;29-05-63;E;3241059;7.04
15.338.074-9;Juan Felipe González Rojas;06-02-82;E;2232254;1.94
4.236.193-4;Javier Javier Díaz Valenzuela;25-03-82;C;7575341;1.42
11.341.652-5;Gabriel Pedro Quiroga González;1973-6-0;B;738289;7.37
4.852.428-9;Valeria Paula Quiroga Campos;02-06-85;A;4223612;2.97
13.256.237-9;Isabel Andrea Muñoz González;02-02-61;E;4053008;1.76
15.139.00-10;Valeria Cecilia Ruiz Marín;01-08-79;D;4336085;3.76
6.017.769-2;Francisco Felipe Marín Quiroga;28-04-63;D;2781074;7.41
8.050.266-6;María Ignacia Muñoz Rodríguez;27-12-73;D;7734938;9.32
18.856.957-9;Constanza Paula Vergara Vergara;30-04-79;C;1080365;8.83
4.294.666-5;Constanza Javiera Ruiz Saavedra;02-01-72;E;7636969;9.54
14.418.537-1;Vicente Pedro López López;02-08-72;C;5540045;4.65
9.623.768-9;Javier Ramón Castro Castro;1987-1-0;B;1738617;2.21
6.145.493-5;Valeria Valeria Quiroga Marín;02-11-91;C;8212689;2.26
5.691.909-8;Gabriel Rodrigo Campos Muñoz;07-12-74;E;132374;9.94
15.405.255-3;Vicente Pedro Muñoz López;17-07-77;B;3566879;9.02
9.674.686-3;Isabel Ignacia Robles Vergara;28-07-75;A;3223355;9.04
20.761.630-4;Constanza Ignacia Campos Rodríguez;09-09-96;E;7438492;3.13
5.086.536-9;Francisco Bernardo Rojas Rodríguez;23-11-99;A;9779977;4.91
7.789.841-2;Andrea Isabel Quiroga Robles;21-12-96;C;7684086;1.3
7.948.674-3;Ignacia Constanza Robles González;02-09-85;D;777957;5.99
20.817.283-9;Pedro Alejandro Quiroga Muñoz;18-09-99;E;9998301;9
19.584.331-5;Cecilia Blanca Vergara Díaz;29-05-93;A;3116778;7.83
18.434.670-3;Francisco Francisco Ruiz Rojas;08-08-87;E;1436674;5.05
13.623.240-1;Vicente Juan Robles Saavedra;19-02-82;C;9804292;3.61
4.831.642-3;Ignacio Ignacio Valenzuela Campos;16-11-74;C;8892858;0.65
8.489.240-5;Felipe Andrés Muñoz Rojas;10-09-80;E;1361720;0.14
11.615.086-5;Ramón Gabriel Saavedra Rodríguez;29-05-77;B;5680734;8.39
12.061.292-0;María Isidora Valenzuela Rodríguez;05-03-80;D;3130145;0.98
13.381.106-8;Vicente Juan Marín Saavedra;19-04-69;C;3307564;0.62
12.866.411-7;Valeria Pamela Saavedra Saavedra;28-10-91;E;6225013;6.77
8.929.258-10;Andrés Ramón Rodríguez Valenzuela;27-09-61;E;1368881;7.42
9.479.989-0;María Paula Robles Muñoz;13-02-66;D;9117111;5.25
10.350.525-1;Rodrigo Pablo Díaz Vergara;10-01-76;C;4010985;9.55
5.079.058-0;Isabel Cecilia Castro Robles;07-02-70;C;9168283;2.22
19.926.276-3;Javier Vicente Robles Vergara;07-06-95;D;7429315;3.84
17.039.803-9;Constanza Ignacia Quiroga Saavedra;08-06-77;C;7125193;0.6
17.881.136-5;Ignacio Andrés Muñoz Muñoz;1984-3-0;A;5060550;2.59
19.623.559-9;Javier Rodrigo Castro Díaz;10-04-69;A;1401555;3.94
8.694.102-5;Ramón Francisco González López;26-06-91;D;3230741;9.99
17.410.998-0;Isabel Ignacia Robles Vergara;17-05-67;E;8503817;7.91
14.908.184-3;Pablo Rodrigo Marín Valenzuela;19-10-98;C;7609717;0.14
9.498.596-5;Valeria Pamela Muñoz Marín;06-04-69;A;3224151;4.36
17.175.161-7;Ignacia Cecilia Ruiz Rodríguez;29-09-60;A;5189563;3.9
11.136.568-3;Javiera Valeria Valenzuela Muñoz;14-07-79;C;7076725;6.28
12.363.678-10;Juan Juan Ruiz Campos;09-10-76;A;3538010;9.63
16.976.895-9;Rodrigo Pedro Vergara González;01-06-60;B;1482384;9.3
19.598.322-8;Isabel Paula Saavedra Rojas;27-06-75;D;5150279;1.3
14.888.391-1;Valeria Andrea Rodríguez Campos;23-03-86;C;606299;9.92
21.164.706-10;Gabriel Pedro Ruiz Díaz;15-01-69;C;2308885;0.3
19.055.993-1;Javier Felipe Díaz González;10-04-83;B;5925316;5.88
4.856.445-1;Constanza Ignacia Saavedra Rodríguez;29-04-76;A;3737654;4.84
17.700.991-3;Andrea María Ruiz Díaz;30-04-84;E;3522357;7.24
10.593.990-1;Vicente Bernardo Muñoz Vergara;22-04-98;E;4968265;7.64
7.889.067-1;Vicente Andrés Valenzuela Campos;21-12-90;B;7056427;7.17
17.748.880-9;Paula Isidora Rojas González;19-06-90;B;5277940;9.49
13.192.102-0;Pamela Pamela Díaz Vergara;09-07-75;B;272439;1
7.180.645-7;Pamela Isidora López Marín;26-10-00;A;7754706;2.14
5.120.863-6;Pamela Isabel López Ruiz;20-07-78;A;4172191;0.23
11.111.600-0;Isidora Ignacia Quiroga Robles;28-07-71;C;140387;8.76
16.955.567-7;Felipe Pedro González Castro;06-07-73;B;8430217;0.56
10.420.983-7;Isidora Constanza Muñoz Saavedra;09-12-71;A;2756667;7.93
20.580.480-3;Rodrigo Felipe Robles Rodríguez;1973-6-0;B;5686309;7.12
16.597.534-9;Victoria Javiera Marín Robles;25-09-98;B;8253868;8.22
13.054.914-10;Ramón Felipe Robles López;29-06-82;C;2318415;4.67
5.510.740-1;Ignacia Valeria Díaz Rodríguez;16-08-93;E;2159357;5.29
4.654.967-2;Francisco Ignacio Robles Rojas;12-12-61;B;3617517;1.21
11.412.525-9;Daniela Isidora Ruiz Castro;24-12-72;B;1343176;1.35
20.956.066-3;Daniela María Vergara Rodríguez;14-04-81;D;1072466;9.97
21.792.520-5;María Ignacia Rodríguez González;30-03-65;B;154257;0.42
19.999.232-6;Francisco Alejandro Rojas González;21-12-85;E;3519240;6.97
15.695.702-4;Juan Andrés Valenzuela Díaz;03-07-63;A;2130840;5.36
5.287.026-6;Cecilia Javiera Muñoz González;1969-11-0;C;5940912;3.06
5.407.517-5;Francisco Ramón Valenzuela Ruiz;28-07-00;B;7094335;5.21
13.679.200-6;Ramón Bernardo Vergara Campos;19-07-87;B;2773033;9.65
15.850.149-7;Andrés Francisco Valenzuela Vergara;22-05-82;B;3787248;6.2
12.305.217-4;Ignacia Isidora Campos Castro;30-12-91;D;1640021;1.01
11.254.871-9;Bernardo Andrés Vergara Castro;04-04-95;E;3791730;1.81
17.652.656-6;Cecilia Victoria Marín Campos;11-03-93;E;8175852;3.78
14.389.622-8;Vicente Rodrigo Díaz Saavedra;1975-12-0;A;5775655;4.8
21.325.113-2;Javier Bernardo Díaz Rojas;09-03-89;C;8360469;8.6
6.980.221-2;Paula Javiera Díaz Ruiz;08-03-87;A;5041829;0.43
4.843.261-0;Andrea Isabel Robles Muñoz;14-08-72;D;7346267;5.72
18.116.552-10;Andrés Vicente Díaz Castro;11-01-88;D;186502;2.76
10.182.319-3;Vicente Francisco Campos Robles;01-04-90;C;9232121;9.93
16.561.265-10;Valeria Blanca González Ruiz;25-12-00;C;1769566;7.51
7.429.863-8;Alejandro Juan Marín Rodríguez;08-01-93;A;3735650;4.35
8.822.439-3;Paula Javiera Castro Marín;28-02-72;B;6375125;0.2
14.221.739-4;Pablo Ramón Díaz Saavedra;19-07-76;A;8934085;7.48
10.802.217-6;Ignacio Ignacio Marín González;08-09-66;A;7677853;0.05
7.919.888-4;Javiera Javiera Rodríguez Robles;13-05-99;A;9851232;6.89
8.887.050-5;Blanca Isidora Castro Campos;09-05-86;C;4042738;9.84
9.547.167-5;Ramón Felipe González Marín;22-11-94;D;7940435;4.72
14.390.343-0;Rodrigo Bernardo Castro Quiroga;06-04-75;C;5549798;9.88
11.321.030-4;Javier Gabriel Robles González;12-11-60;E;7578656;1.44
19.013.855-9;Bernardo Vicente Saavedra Marín;27-06-90;D;4733635;9.67
19.784.254-4;Ignacia Victoria Valenzuela Rojas;1991-1-0;C;6654301;3.84
4.437.416-8;Ignacio Francisco González Robles;04-03-83;E;8549179;7.29
21.623.597-4;Daniela Daniela Díaz Vergara;21-02-71;E;8273672;5.25
11.404.369-2;Pedro Bernardo Rodríguez Muñoz;22-02-65;C;5020769;8.2
16.296.341-5;Ignacia Javiera Muñoz Saavedra;24-02-75;C;3216075;0.02
8.387.700-6;Ramón Ignacio Marín Rojas;01-03-79;A;359343;6.18
12.490.952-10;Juan Alejandro Saavedra Muñoz;26-04-94;D;3791999;0.32
5.204.054-3;Constanza Isabel Campos Ruiz;25-04-81;C;6284742;2.39
19.111.351-2;Gabriel Ignacio Campos Castro;25-09-74;B;7691022;7.27
17.919.505-1;Valeria Cecilia González Muñoz;10-09-84;E;7684647;8.93
13.307.371-5;Javiera Valeria Rojas Valenzuela;17-07-88;E;3325043;1.37
10.400.415-7;María Ignacia Ruiz Muñoz;01-11-69;D;9623100;6.74
7.120.852-6;Ignacia Cecilia Campos Robles;18-02-85;E;8232169;3.85
19.406.676-1;Pedro Bernardo Díaz Rodríguez;03-08-84;D;6415292;4.14
17.899.515-10;Andrea María Ruiz López;15-05-79;C;834242;5.25
4.442.742-5;Ignacia Isabel Campos Díaz;05-06-86;D;2355041;5.2
11.931.275-4;Pamela María Muñoz Díaz;20-02-75;B;1656258;2.25
16.905.584-0;Cecilia Ignacia Ruiz Muñoz;18-05-98;A;1481382;8.75
8.623.399-9;Andrea Constanza Rodríguez Marín;17-08-74;C;4852295;2.78
18.312.624-2;Isidora Isidora Muñoz López;05-02-85;D;6698411;3.88
5.157.771-7;Javiera María Rojas Quiroga;07-01-80;A;4773738;4.78
21.298.877-8;Ignacio Alejandro Marín Marín;20-02-84;A;8639103;4.09
5.745.971-4;Javier Bernardo Rodríguez Rodríguez;01-03-87;E;5739686;0.87
10.433.791-5;Andrea Blanca Saavedra Ruiz;03-04-64;E;1779264;9.55
7.295.292-0;Pamela Paula Muñoz Díaz;08-02-95;B;6989288;6.77
20.313.538-1;Constanza Isidora Marín Rojas;1967-8-0;E;4610577;5.19
20.016.893-5;Pedro Rodrigo González López;27-04-73;A;542405;9.68
8.235.908-1;Valeria Daniela Saavedra González;25-09-99;D;7441178;1.32
8.835.581-9;Isabel Valeria González Ruiz;30-06-88;E;7208244;1.02
6.738.983-1;Juan Pedro Muñoz Rodríguez;12-06-91;C;9177465;6.24
12.093.279-2;Paula Isabel Rodríguez Muñoz;25-06-71;C;9284112;6.2
16.578.843-3;Felipe Francisco Robles González;25-07-83;E;3329756;9.07
9.210.709-8;Cecilia Ignacia Quiroga Robles;15-01-77;C;967732;5.06
14.581.441-8;Victoria Daniela Valenzuela López;26-02-69;E;7659539;1.01
5.485.175-3;Vicente Francisco Rodríguez Saavedra;06-05-65;B;1546267;3.18
8.800.397-9;Felipe Francisco González Muñoz;15-06-67;B;8313416;7.76
14.06.215-4;Pamela Paula Robles Ruiz;20-04-93;C;6781484;4.16
11.618.550-1;Andrea Isidora Vergara Rojas;01-01-94;B;1028216;2.08
18.607.370-10;Gabriel Vicente Castro Robles;05-08-83;C;5723784;3.69
12.552.291-1;María Pamela Ruiz Robles;10-04-66;C;7372685;8.43
17.368.076-2;Isabel Victoria Rodríguez González;27-09-89;A;3734897;4.12
17.502.560-7;Javiera María Campos Saavedra;17-08-84;B;6704463;5.41
4.01.528-1;Victoria Victoria Robles López;16-06-74;A;7790386;7.75
5.839.472-4;Javier Francisco López Rodríguez;11-04-67;A;5432824;6.88
9.201.429-2;Felipe Ignacio Campos Castro;12-04-61;B;6987709;4.88
18.479.543-1;Isabel Pamela Díaz Quiroga;22-02-86;E;785190;4.12
9.722.748-3;Rodrigo Javier Ruiz Rojas;17-08-74;A;6783899;1.72
5.480.187-10;Alejandro Alejandro Muñoz Saavedra;03-09-81;C;5603515;4.92
17.996.075-2;Isabel Javiera Muñoz Rojas;14-05-64;C;9056033;3.41
8.860.988-10;Felipe Ramón Saavedra Rojas;27-07-91;E;7406287;7.63
19.855.344-1;Javier Rodrigo Vergara López;25-09-91;A;1723601;2.39
7.691.857-7;Vicente Andrés Díaz González;13-04-66;B;4702156;5.29
12.574.429-6;Cecilia Constanza Saavedra Campos;10-08-71;A;9702640;2.78
10.603.289-6;Victoria Daniela Quiroga Quiroga;09-12-77;A;4070407;8.12
7.558.707-6;Alejandro Andrés Robles Valenzuela;08-08-64;E;1671970;9.17
7.994.312-3;Cecilia Pamela Muñoz Muñoz;07-11-00;D;3694060;8.29
14.505.733-9;Constanza María Rojas Rojas;30-07-70;E;8617045;6.54
20.192.06-2;Ignacio Felipe Castro Saavedra;12-11-75;C;7430364;7.54
20.819.165-0;Constanza Paula Rodríguez Muñoz;02-12-87;E;9009761;8.35
5.024.499-8;Isidora María López Ruiz;18-03-94;C;2430364;7.05
21.733.521-10;Pedro Javier Rodríguez Quiroga;16-12-73;B;9520336;1.31
9.668.789-0;Isidora María López Quiroga;03-03-90;D;2541907;3.9
13.436.394-9;Cecilia Andrea Rodríguez Quiroga;07-04-87;A;5567016;7.11
8.163.687-1;Pablo Juan Robles Marín;1961-4-0;B;4192330;3.93
20.348.018-0;Ignacio Felipe Muñoz González;12-05-99;D;5985993;0.72
13.662.998-4;Ignacio Javier Rojas Campos;27-07-86;C;2044449;2.32
11.132.026-10;Constanza Paula Castro Castro;14-11-64;A;8601475;9.32
10.040.582-2;Javiera Valeria Vergara Rodríguez;04-12-80;E;6668725;7.44
8.052.040-0;Andrea Paula Rojas Marín;19-09-73;C;3355947;0.2
18.825.810-4;Constanza Blanca Valenzuela Valenzuela;27-10-72;B;6525922;2.46
17.618.835-0;Constanza Victoria Castro Castro;26-08-81;E;1202457;3.08
21.322.811-9;Pedro Bernardo Quiroga Campos;25-09-90;A;7484444;5.06
4.535.882-7;Ignacio Pablo Marín Castro;03-03-60;C;1330544;2.55
6.984.995-8;Ignacio Felipe Castro Muñoz;04-12-66;E;9457273;5.31
7.431.756-3;Vicente Ignacio Robles Vergara;1983-5-0;B;5040411;9.66
17.807.689-10;Pablo Ramón Rodríguez Muñoz;17-02-81;A;1823641;9.96
5.682.817-6;Pablo Pedro Marín Valenzuela;27-09-67;D;6602941;7.32
9.736.585-8;Constanza María Díaz Díaz;14-04-73;B;2722131;7.66
7.495.227-7;Javiera Victoria Castro Rodríguez;21-07-94;D;6820265;9.43
11.795.173-1;Ignacia Paula Quiroga Quiroga;09-08-77;E;6340030;7.38
9.338.094-4;Isabel Isidora Castro Rodríguez;27-01-83;A;9928623;9.64
15.416.012-10;Rodrigo Alejandro López Ruiz;19-08-62;D;2359375;5.19
15.580.087-7;Valeria Constanza López Robles;12-04-74;A;5414631;4.21
14.604.345-10;Ignacio Andrés Quiroga Vergara;19-11-77;D;1999093;1.9
18.679.851-1;Javier Pablo Vergara Rodríguez;12-06-60;D;3749357;4.95
14.519.250-9;Isabel Pamela Vergara Ruiz;09-04-78;D;8505354;3.87
5.056.391-9;Felipe Ignacio González Campos;15-04-99;C;733858;2.77
17.146.224-8;María Constanza Díaz Muñoz;21-02-62;D;2788801;2.4
20.130.588-0;Cecilia María Campos Robles;13-04-61;B;2171115;3.92
13.264.711-9;Andrea Isidora Campos Castro;15-02-93;E;9814529;0.45
21.970.228-9;Felipe Pablo López Rodríguez;06-04-79;D;6848081;8.04
13.778.923-8;Vicente Felipe Campos Marín;20-11-92;A;7103077;2.46
10.676.926-7;Isabel Isabel Marín Rodríguez;03-12-93;C;5854383;5.38
4.851.172-3;Victoria Victoria Vergara Valenzuela;06-03-74;A;1609712;2.29
17.582.753-3;Francisco Felipe Vergara Saavedra;11-10-82;A;8402999;7.62
9.210.204-0;Daniela María Muñoz Rodríguez;28-07-91;A;2933562;3.11
19.065.254-9;Isabel Ignacia Valenzuela Marín;28-06-66;C;5417132;5.55
15.138.373-8;Andrea Isidora Valenzuela Campos;11-06-84;A;8128511;0.55
5.603.699-2;Andrea Ignacia Robles Vergara;14-05-66;B;9606304;8.72
7.434.536-8;Constanza Ignacia Muñoz Ruiz;23-01-87;C;5810552;4.94
17.956.402-3;Ramón Juan López Muñoz;13-01-75;D;7271097;2.8
12.039.398-7;Gabriel Ramón González Vergara;08-03-60;D;3239912;2.95
8.561.124-1;Andrea Isidora Castro Muñoz;04-09-79;D;3369109;8.02
11.296.862-8;Blanca Cecilia Rojas González;29-07-98;A;367473;2.73
21.581.422-0;Felipe Gabriel González González;04-04-93;B;4557694;8.84
21.084.036-3;Pamela Pamela Valenzuela Castro;05-09-98;A;6606663;5.77
11.106.197-8;Isidora Cecilia González Quiroga;03-06-86;D;3851030;3.81
20.235.824-0;Francisco Rodrigo Rodríguez Campos;13-09-99;E;6204671;0.15
10.284.040-5;Pedro Pedro Marín Castro;15-12-86;E;9414259;1.58
8.107.305-10;Isabel Pamela Vergara Muñoz;1996-12-0;A;2348676;6.76
4.917.112-3;Ignacio Juan Ruiz Marín;04-05-88;A;5690472;5.54
4.847.152-1;Ramón Felipe Marín Robles;13-08-77;A;8987039;9.12
8.885.678-0;Paula Blanca Quiroga Díaz;28-03-71;D;7409415;9.53
21.075.755-3;Pedro Alejandro González Muñoz;25-06-71;B;6343527;9.54
4.943.878-10;Rodrigo Juan Muñoz Díaz;19-05-71;B;2565921;6.26
17.212.040-5;Andrés Javier González Quiroga;12-05-70;C;3142360;4.84
20.096.979-1;Javier Pedro Castro Vergara;23-08-91;C;1607313;0.49
13.994.021-1;María Isidora Rodríguez González;29-11-82;C;1110441;6.81
20.850.352-3;Pedro Gabriel Ruiz Díaz;10-08-81;C;8429104;3.83
14.784.917-2;Constanza Ignacia Vergara Vergara;19-04-66;C;1436930;9.16
5.576.219-2;Francisco Ignacio Valenzuela Rojas;03-11-00;D;9785139;8.91
17.343.807-8;Victoria Blanca Valenzuela Vergara;03-01-87;A;4332425;1.74
13.109.115-1;Bernardo Javier Marín Rojas;13-07-67;E;7747933;9.69
5.365.957-5;Blanca Blanca Vergara Ruiz;25-08-74;B;2081164;4.54
8.234.301-7;Ignacia Blanca Rodríguez Valenzuela;02-03-79;E;699108;8.85
16.660.372-2;Javier Alejandro Muñoz Ruiz;05-03-71;C;4871110;8.45
8.529.931-7;Paula Pamela Ruiz Robles;12-04-76;A;6012500;3.66
8.134.215-5;Andrés Andrés Vergara Castro;14-07-89;B;7136881;5.82
19.084.318-6;Gabriel Felipe Saavedra Valenzuela;18-08-88;E;3373994;0.53
7.342.918-9;María Daniela Vergara Rojas;15-05-76;B;5715642;5.27
5.518.023-1;Felipe Bernardo López Muñoz;24-09-82;E;4536689;8.02
14.027.475-3;Blanca Constanza Robles Marín;04-09-00;D;8710633;8.5
5.358.893-9;Andrea Pamela López López;09-11-74;D;4591082;5.25
10.119.164-1;Rodrigo Pedro Muñoz Díaz;16-07-66;A;2467085;0.43
20.473.242-6;Pedro Ramón Muñoz Rojas;05-06-63;A;8213987;3.06
6.376.295-8;Paula Daniela González Saavedra;06-05-98;A;3401785;1.05
5.680.774-3;Andrés Alejandro Ruiz Rodríguez;16-06-00;B;8913923;2.8
11.859.742-10;Pedro Gabriel Rodríguez Castro;28-06-93;D;4578762;8.1
11.462.263-5;Constanza Victoria Robles Valenzuela;23-07-75;A;3300143;3.5
14.494.698-2;Cecilia María López Díaz;01-01-80;A;1001666;5.48
8.02.489-9;Ignacio Francisco Rojas Muñoz;22-06-96;C;2124776;7.37
18.195.173-8;Francisco Alejandro Saavedra Rodríguez;06-12-75;C;7873505;5.21
17.306.676-3;Javiera María Muñoz Robles;27-03-99;D;5297499;0.07
18.548.869-6;Paula Pamela Campos Saavedra;30-11-61;C;2218123;5.53
4.940.656-1;María Ignacia Marín Castro;21-04-80;D;5695727;7.26
4.575.306-0;Juan Bernardo Robles López;19-07-97;A;2667272;1.37
20.529.797-4;Pamela Constanza Díaz Castro;1975-12-0;D;6795224;7.45
16.446.099-2;Isidora Isidora Vergara Robles;26-04-83;E;1753619;4.29
8.641.101-7;Ignacia Cecilia Saavedra Ruiz;13-12-96;A;6329517;3.89
12.809.053-1;Andrés Pedro Castro Rojas;09-08-87;B;4239250;4.29
17.989.035-5;Andrés Gabriel Díaz Quiroga;11-10-89;A;9581484;6.82
11.855.826-4;Victoria Blanca Ruiz González;28-07-69;C;6229549;3.44
19.813.891-4;Daniela Daniela Rojas Vergara;30-08-73;C;4045137;3.69
8.284.367-0;Ignacio Rodrigo Rodríguez Castro;29-08-93;A;4214998;5.54
4.544.134-10;Valeria Andrea Vergara Rodríguez;06-12-87;E;2761884;5.21
5.914.102-0;Cecilia Daniela González Rodríguez;25-10-84;A;6371399;7.28
21.453.410-2;Gabriel Javier Marín González;27-07-65;E;9120887;4.64
13.311.864-6;Isabel Cecilia Rojas Ruiz;24-07-66;D;9616527;5.29
13.080.173-3;Juan Pedro Vergara Díaz;01-09-75;D;2734239;6.08
20.296.281-5;Javier Francisco Ruiz Robles;24-02-62;D;1406190;0.13
14.433.105-1;Javiera Constanza Rodríguez Vergara;22-08-97;C;1577621;1.57
17.611.988-6;Andrea Victoria Castro López;03-01-67;D;1670747;3.23
11.168.885-1;María Ignacia Castro Rodríguez;14-11-91;C;4911335;6.49
17.745.176-0;Victoria Paula Rodríguez Rodríguez;24-09-70;D;345020;7.49
13.367.232-5;Paula Daniela Muñoz Rodríguez;04-03-90;B;3176653;0.76
9.277.655-4;Javier Juan Rodríguez López;30-11-87;B;7489472;9.6
21.474.984-5;Pedro Felipe Campos Muñoz;17-05-92;C;2682679;8.58
5.407.299-2;Cecilia Andrea Vergara Ruiz;12-09-97;B;8147388;3.7
7.214.011-5;Francisco Gabriel Quiroga Rodríguez;21-03-89;C;2767927;6.43
