RUT;Nombre;Genero;Fecha_Nacimiento;Previsión;Monto_Deuda
19.338.570-8;Andrea-Isabel-Díaz-Robles;FEMENINO;1998/9/3;ISAPRE;1536449
19.273XXXX;Pamela-Ignacia-Rodríguez-Vergara;FEMENINO;1975/10/29;ISAPRE;1768519
8.018.598-1;Gabriel-Vicente-Rojas-Quiroga;MASCULINO;1991/8/16;FONASA;720753
15.695.120-3;Bernardo-Andrés-Ruiz-Díaz;MASCULINO;1967/10/8;FONASA;1622613
9.195.938-0;Rodrigo-Francisco-Robles-Rodríguez;MASCULINO;1986/5/9;FONASA;1882907
21.247.208-1;Paula-Valeria-Robles-Rojas;FEMENINO;1987/6/16;ISAPRE;1775963
14.345.785-1;Blanca-Isidora-Rodríguez-Rodríguez;FEMENINO;1970/2/27;ISAPRE;422871
5.809.380-2;Constanza-Pamela-Rodríguez-Quiroga;FEMENINO;1979/11/30;FONASA;722375
17.106.911-0;Felipe-Andrés-Ruiz-Campos;MASCULINO;1985/10/23;FONASA;1644565
20.522.668-8;Paula-Victoria-Castro-Muñoz;FEMENINO;1994/5/23;FONASA;198793
15.028.577-9;Valeria-Victoria-Vergara-López;FEMENINO;1996/8/26;FONASA;1569247
21.219.245-4;PaulaXXXX;FEMENINO;1990/7/5;FONASA;630140
18.651.749-6;Paula-Constanza-Rodríguez-Rodríguez;FEMENINO;1969/8/15;FONASA;100872
7.798.692-9;Blanca-Paula-Marín-Rodríguez;FEMENINO;1998/6/23;FONASA;1184660
8.018.991-1;Ignacio-Felipe-Castro-Muñoz;MASCULINO;1966/2/24;FONASA;1440460
4.138.509-5;Isidora-Cecilia-Robles-Ruiz;FEMENINO;1984/8/12;FONASA;962889
16.346.962-3;Cecilia-Victoria-Robles-Muñoz;FEMENINO;1987/4/6;FONASA;1145658
20.704.063-1;Ramón-Felipe-Rojas-López;MASCULINO;1961/8/1;FONASA;1608614
7.117.993-4;Rodrigo-Rodrigo-Campos-Saavedra;MASCULINO;1993/2/24;FONASA;891843
7.223.298-4;Javiera-Cecilia-Quiroga-Saavedra;FEMENINO;1975/10/11;FONASA;591904
7.651XXXX;María-Daniela-López-Campos;FEMENINO;1992/5/12;ISAPRE;476485
12.306.223-1;Ramón-Pedro-Ruiz-Ruiz;MASCULINO;1989/1/19;ISAPRE;349127
10.150.382-0;Vicente-Ignacio-Rodríguez-Campos;MASCULINO;1963/12/13;FONASA;588536
18.474.488-2;Victoria-María-Castro-Rojas;FEMENINO;1965/2/3;FONASA;1947126
6.025.640-0;MaríaXXXX;FEMENINO;1999/12/27;FONASA;1501414
7.204.487-6;Blanca-Ignacia-Vergara-Valenzuela;FEMENINO;1968_/2/17;FONASA;1257723
4.580.866-8;Ramón-Bernardo-Campos-Saavedra;MASCULINO;1999/3/20;ISAPRE;722151
12.509.612-0;Ignacio-Alejandro-Ruiz-González;MASCULINO;2000/9/4;FONASA;1378176
13.473.03-5;Isidora-Daniela-Muñoz-Muñoz;FEMENINO;1972_/11/7;ISAPRE;1325855
6.696.299-2;Blanca-Constanza-Marín-Rojas;FEMENINO;1999/2/19;FONASA;606680
14.573.675-9;Pedro-Felipe-Valenzuela-Quiroga;MASCULINO;1962/6/10;FONASA;110565
16.288.390-6;Blanca-Blanca-López-Campos;FEMENINO;1978/10/27;ISAPRE;575329
5.857.107-9;Bernardo-Alejandro-Vergara-Muñoz;MASCULINO;1982/4/22;FONASA;739880
4.666.430-8;Pamela-Isidora-Rodríguez-Rodríguez;FEMENINO;1968/12/20;ISAPRE;392080
21.612.235-1;Pamela-Isidora-Vergara-González;FEMENINO;1969/11/17;FONASA;1268910
19.742.961-8;Daniela-Blanca-Quiroga-Valenzuela;FEMENINO;1961/2/21;FONASA;545023
7.172XXXX;Felipe-Ramón-Vergara-Rojas;MASCULINO;1985/6/10;ISAPRE;907019
8.976XXXX;Javier-Vicente-Vergara-Valenzuela;MASCULINO;1996/9/28;ISAPRE;1866380
12.124XXXX;María-Pamela-Vergara-Vergara;FEMENINO;1996/11/5;ISAPRE;1845379
11.033.912-5;Francisco-Alejandro-Campos-Castro;MASCULINO;1992/12/25;ISAPRE;1992201
15.983.112-1;Ignacio-Pedro-Quiroga-Vergara;MASCULINO;1992/5/20;FONASA;429262
13.436.635-2;Constanza-María-Valenzuela-Campos;FEMENINO;1979/7/0;FONASA;732044
10.970.438-4;FranciscoXXXX;MASCULINO;1973/11/3;FONASA;1205719
10.111XXXX;Victoria-Isabel-Rodríguez-Campos;FEMENINO;1992/11/16;FONASA;797140
10.871.828-4;Cecilia-Pamela-Marín-Rodríguez;FEMENINO;1981_/12/24;FONASA;1883140
12.123XXXX;Andrea-Blanca-Rojas-Rojas;FEMENINO;1973/12/25;FONASA;1425986
18.250.154-6;Rodrigo-Bernardo-Campos-Campos;MASCULINO;1973/6/0;FONASA;319736
