Fecha_Hora_Consulta;RUT;Especialidad;Diag;RUT2;Costo_consulta
2018-01-13;16.543.145-1;Dermatología;Enfermedad 3;9.863.883-7;29000
2018-10-16;16.100.855-8;Dermatología;Enfermedad 3;11.650.382-8;29000
2018-09-08;20.348.342-8;Cardiología;Enfermedad 6;9.863.883-7;39000
2018-05-24;16.380.161-1;Medicina General;Enfermedad 0;8.824.141-0;31000
2018-06-29;18.074.219-8;Dermatología;Enfermedad 3;5.137.429-3;16000
2018-02-04;17.034.512-8;Medicina General;Enfermedad 0;18.945.380-7;32000
2018-09-05;6.519.240-6;Dermatología;Enfermedad 3;17.552.891-4;31000
2018-02-07;9.176.468-8;Dermatología;Enfermedad 3;10.586.335-1;39000
2018-07-30;21.063.938-9;Medicina General;Enfermedad 0;20.395.046-6;24000
2018-06-21;20.639.486-9;Cardiología;Enfermedad 6;8.824.141-0;24000
2018-01-04;10.843.065-9;Medicina General;Enfermedad 0;17.552.891-4;26000
2018-11-25;20.284.204-3;Cardiología;Enfermedad 6;13.888.905-2;29000
2018-06-16;6.885.334-5;Cardiología;Enfermedad 6;5.137.429-3;30000
2018-11-11;15.116.696-3;Medicina General;Enfermedad 0;20.833.661-5;29000
2018-03-09;4.786.472-1;Dermatología;Enfermedad 3;15.444.577-3;44000
2018-12-02;12.299.939-5;Cardiología;Enfermedad 6;18.945.380-7;26000
2018-10-15;9.055.601-4;Dermatología;Enfermedad 3;10.372.316-3;24000
2018-01-29;9.890.807-3;Medicina General;Enfermedad 0;10.372.316-3;16000
2018-09-08;13.106.954-2;Medicina General;Enfermedad 0;20.395.046-6;NaN
2018-01-17;14.888.710-0;Medicina General;Enfermedad 0;14.551.892-2;44000
2018-01-03;15.316.421-9;Cardiología;Enfermedad 6;20.395.046-6;29000
2018-04-04;6.262.939-4;Medicina General;Enfermedad 0;8.806.736-6;32000
2018-08-24;16.731.958-7;Cardiología;Enfermedad 6;20.677.679-0;36000
2018-10-02;13.470.680-1;Medicina General;Enfermedad 0;14.551.892-2;22000
2018-01-01;12.433.010-2;Cardiología;Enfermedad 6;14.551.892-2;25000
2018-02-01;7.984.336-0;Medicina General;Enfermedad 0;5.137.429-3;22000
2018-03-11;7.364.238-5;Medicina General;Enfermedad 0;16.940.133-6;44000
2018-06-04;8.184.172-7;Medicina General;Enfermedad 0;13.125.344-3;NaN
2018-05-26;13.339.941-8;Medicina General;Enfermedad 0;7.449.554-6;16000
2018-03-01;6.695.425-2;Cardiología;Enfermedad 6;8.806.736-6;30000
2018-10-14;13.780.496-8;Medicina General;Enfermedad 0;14.954.461-1;37000
2018-11-25;6.857.628-7;Dermatología;Enfermedad 3;11.541.171-8;19000
2018-12-05;14.277.194-1;Dermatología;Enfermedad 3;11.541.171-8;26000
2018-12-06;4.057.639-2;Medicina General;Enfermedad 0;18.945.380-7;27000
2018-02-11;4.367.282-7;Dermatología;Enfermedad 3;7.449.554-6;30000
2018-03-14;13.507.971-0;Cardiología;Enfermedad 6;13.125.344-3;28000
2018-09-15;7.043.338-8;Dermatología;Enfermedad 3;14.551.892-2;23000
2018-03-04;6.415.057-3;Medicina General;Enfermedad 0;15.444.577-3;34000
2018-09-10;9.022.257-2;Cardiología;Enfermedad 6;18.278.361-1;17000
2018-05-20;5.012.158-8;Dermatología;Enfermedad 3;8.806.736-6;NaN
2018-11-04;5.873.216-0;Cardiología;Enfermedad 6;17.552.891-4;NaN
2018-05-06;4.786.472-1;Medicina General;Enfermedad 0;10.372.316-3;33000
2018-06-27;14.648.384-5;Dermatología;Enfermedad 3;19.877.621-7;42000
2018-07-08;21.270.301-0;Cardiología;Enfermedad 6;9.770.390-5;17000
2018-08-06;13.883.820-9;Dermatología;Enfermedad 3;11.650.382-8;NaN
2018-05-14;14.647.763-3;Cardiología;Enfermedad 6;9.863.883-7;32000
2018-08-10;19.720.286-0;Medicina General;Enfermedad 0;20.395.046-6;40000
2018-09-14;5.151.941-1;Cardiología;Enfermedad 6;11.650.382-8;20000
2018-08-09;17.964.252-8;Dermatología;Enfermedad 3;9.033.905-8;18000
2018-02-11;21.267.566-5;Dermatología;Enfermedad 3;8.806.736-6;45000
2018-08-21;4.762.194-6;Medicina General;Enfermedad 0;10.380.018-6;21000
2018-04-12;6.388.024-5;Medicina General;Enfermedad 0;10.372.316-3;33000
2018-08-08;8.876.840-5;Medicina General;Enfermedad 0;13.125.344-3;24000
2018-06-11;18.361.475-5;Medicina General;Enfermedad 0;16.940.133-6;28000
2018-05-10;15.104.867-6;Medicina General;Enfermedad 0;18.278.361-1;19000
2018-07-06;4.367.283-7;Dermatología;Enfermedad 3;10.586.335-1;24000
2018-06-02;5.862.330-5;Dermatología;Enfermedad 3;14.551.892-2;25000
2018-03-08;9.363.222-0;Medicina General;Enfermedad 0;10.586.335-1;33000
2018-12-21;10.398.526-6;Cardiología;Enfermedad 6;18.945.380-7;28000
2018-05-23;13.168.612-3;Dermatología;Enfermedad 3;9.843.278-9;22000
2018-03-27;21.188.758-2;Cardiología;Enfermedad 6;9.033.905-8;25000
2018-10-04;12.887.540-5;Cardiología;Enfermedad 6;20.677.679-0;32000
2018-07-30;19.500.328-3;Medicina General;Enfermedad 0;13.888.905-2;27000
2018-07-20;19.696.647-7;Cardiología;Enfermedad 6;19.877.621-7;29000
2018-06-10;13.820.192-2;Dermatología;Enfermedad 3;16.940.133-6;15000
2018-03-05;11.671.786-1;Cardiología;Enfermedad 6;10.380.018-6;43000
2018-03-09;17.168.934-7;Cardiología;Enfermedad 6;10.586.335-1;34000
2018-03-31;6.721.840-6;Medicina General;Enfermedad 0;15.444.577-3;13000
2018-04-23;6.990.450-2;Cardiología;Enfermedad 6;13.888.905-2;16000
2018-01-23;9.722.662-9;Cardiología;Enfermedad 6;11.650.382-8;43000
2018-09-03;19.295.162-6;Dermatología;Enfermedad 3;18.278.361-1;13000
2018-09-23;8.679.894-7;Medicina General;Enfermedad 0;9.033.905-8;18000
2018-04-13;12.936.982-4;Cardiología;Enfermedad 6;20.677.679-0;NaN
2018-03-30;4.938.981-8;Medicina General;Enfermedad 0;10.380.018-6;45000
2018-03-31;9.841.228-8;Dermatología;Enfermedad 3;11.541.171-8;NaN
2018-04-03;14.502.656-2;Dermatología;Enfermedad 3;16.940.133-6;33000
2018-11-16;9.363.222-0;Cardiología;Enfermedad 6;16.940.133-6;44000
2018-02-23;7.041.200-6;Cardiología;Enfermedad 6;20.677.679-0;32000
2018-08-15;5.763.942-0;Cardiología;Enfermedad 6;20.833.661-5;22000
2018-12-30;10.819.343-9;Dermatología;Enfermedad 3;17.827.973-4;14000
2018-02-01;7.201.886-6;Medicina General;Enfermedad 0;5.137.429-3;23000
2018-02-20;18.715.857-7;Dermatología;Enfermedad 3;9.843.278-9;32000
2018-02-27;6.143.290-8;Dermatología;Enfermedad 3;9.033.905-8;NaN
2018-03-07;9.078.453-2;Dermatología;Enfermedad 3;18.945.380-7;17000
2018-09-28;13.588.927-9;Medicina General;Enfermedad 0;7.449.554-6;23000
2018-02-07;10.843.065-9;Dermatología;Enfermedad 3;9.029.028-9;28000
2018-12-30;17.350.697-0;Cardiología;Enfermedad 6;8.806.736-6;NaN
2018-06-13;6.079.686-2;Medicina General;Enfermedad 0;8.806.736-6;45000
2018-01-31;13.197.497-7;Dermatología;Enfermedad 3;9.843.278-9;17000
2018-08-13;5.335.422-3;Dermatología;Enfermedad 3;7.449.554-6;NaN
2018-11-09;19.580.363-0;Cardiología;Enfermedad 6;11.541.171-8;32000
2018-08-22;7.993.245-9;Medicina General;Enfermedad 0;10.380.018-6;37000
2018-12-27;7.698.530-6;Cardiología;Enfermedad 6;17.552.891-4;32000
2018-11-04;12.963.496-3;Cardiología;Enfermedad 6;9.029.028-9;26000
2018-12-30;8.683.633-0;Cardiología;Enfermedad 6;9.770.390-5;26000
2018-11-28;12.391.118-7;Medicina General;Enfermedad 0;10.372.316-3;45000
2018-08-19;7.516.01-8;Medicina General;Enfermedad 0;9.033.905-8;32000
2018-02-25;15.946.802-2;Cardiología;Enfermedad 6;13.125.344-3;15000
2018-04-08;15.111.323-8;Medicina General;Enfermedad 0;5.137.429-3;35000
2018-12-24;6.600.137-3;Cardiología;Enfermedad 6;17.552.891-4;13000
2018-04-07;19.453.283-8;Cardiología;Enfermedad 6;17.552.891-4;40000
2018-08-05;18.899.312-8;Dermatología;Enfermedad 3;8.806.736-6;36000
2018-09-09;7.243.579-7;Dermatología;Enfermedad 3;19.877.621-7;33000
2018-09-13;14.846.172-2;Medicina General;Enfermedad 0;20.395.046-6;43000
2018-06-15;18.525.428-9;Cardiología;Enfermedad 6;18.278.361-1;44000
2018-05-04;18.899.077-6;Dermatología;Enfermedad 3;20.066.428-9;38000
2018-10-01;20.897.312-1;Medicina General;Enfermedad 0;11.650.382-8;19000
2018-11-17;7.041.200-6;Dermatología;Enfermedad 3;15.444.577-3;28000
2018-06-27;5.635.782-1;Dermatología;Enfermedad 3;10.380.018-6;18000
2018-01-05;4.941.591-9;Cardiología;Enfermedad 6;9.863.883-7;25000
2018-01-14;8.683.633-0;Cardiología;Enfermedad 6;8.824.141-0;43000
2018-04-08;12.936.982-4;Dermatología;Enfermedad 3;11.650.382-8;NaN
2018-07-16;12.620.154-8;Cardiología;Enfermedad 6;5.137.429-3;43000
2018-12-07;16.100.855-8;Medicina General;Enfermedad 0;11.650.382-8;28000
2018-11-25;5.727.671-0;Dermatología;Enfermedad 3;10.586.335-1;33000
2018-09-17;5.873.216-0;Medicina General;Enfermedad 0;5.137.429-3;13000
2018-10-05;21.199.826-0;Cardiología;Enfermedad 6;17.552.891-4;18000
2018-05-04;5.846.676-2;Medicina General;Enfermedad 0;7.449.554-6;32000
2018-05-18;8.178.106-7;Medicina General;Enfermedad 0;20.677.679-0;34000
2018-09-02;14.449.051-7;Cardiología;Enfermedad 6;11.650.382-8;45000
2018-07-11;11.066.569-1;Cardiología;Enfermedad 6;17.827.973-4;23000
2018-03-07;4.533.749-4;Cardiología;Enfermedad 6;8.824.141-0;13000
2018-03-20;12.074.719-9;Dermatología;Enfermedad 3;8.806.736-6;38000
2018-08-28;15.569.233-5;Cardiología;Enfermedad 6;9.770.390-5;40000
2018-11-09;5.220.765-4;Dermatología;Enfermedad 3;14.551.892-2;21000
2018-09-23;5.487.133-4;Medicina General;Enfermedad 0;14.954.461-1;19000
2018-12-07;4.678.034-4;Medicina General;Enfermedad 0;14.551.892-2;24000
2018-09-20;6.927.511-0;Dermatología;Enfermedad 3;8.824.141-0;22000
2018-04-17;14.558.634-2;Dermatología;Enfermedad 3;18.278.361-1;38000
2018-10-08;14.871.274-8;Dermatología;Enfermedad 3;14.954.461-1;30000
2018-11-17;11.409.492-8;Dermatología;Enfermedad 3;8.806.736-6;43000
2018-01-25;5.482.973-5;Medicina General;Enfermedad 0;15.444.577-3;28000
2018-02-18;6.344.02-7;Dermatología;Enfermedad 3;16.564.763-2;23000
2018-10-09;6.453.721-2;Medicina General;Enfermedad 0;20.833.661-5;37000
2018-03-02;4.480.772-1;Cardiología;Enfermedad 6;14.954.461-1;18000
2018-11-01;16.714.629-0;Cardiología;Enfermedad 6;11.541.171-8;19000
2018-05-09;4.533.749-4;Cardiología;Enfermedad 6;14.551.892-2;36000
2018-12-26;12.813.415-7;Dermatología;Enfermedad 3;16.940.133-6;14000
2018-07-26;7.582.423-1;Medicina General;Enfermedad 0;14.551.892-2;27000
2018-11-24;12.239.01-3;Medicina General;Enfermedad 0;9.033.905-8;27000
2018-05-01;11.660.077-1;Medicina General;Enfermedad 0;14.551.892-2;23000
2018-10-31;6.926.940-5;Dermatología;Enfermedad 3;8.806.736-6;33000
2018-11-30;18.782.070-4;Dermatología;Enfermedad 3;11.541.171-8;14000
2018-12-07;17.779.449-4;Dermatología;Enfermedad 3;5.137.429-3;42000
2018-04-29;16.389.122-7;Dermatología;Enfermedad 3;9.033.905-8;43000
2018-12-03;4.464.429-4;Cardiología;Enfermedad 6;16.564.763-2;31000
2018-11-09;9.097.028-5;Dermatología;Enfermedad 3;9.029.028-9;34000
2018-10-06;21.220.974-4;Medicina General;Enfermedad 0;9.033.905-8;20000
2018-09-13;10.742.393-7;Medicina General;Enfermedad 0;20.395.046-6;28000
2018-01-10;6.033.112-2;Dermatología;Enfermedad 3;18.278.361-1;21000
